[GEO] Natural Earth 10m Coastline
N006.58.19.608 W058.22.42.852 N006.58.25.028 W058.24.34.766 COLOR_Coastline
N006.58.25.028 W058.24.34.766 N006.58.19.608 W058.25.08.165 COLOR_Coastline
N006.58.19.608 W058.25.08.165 N006.58.05.985 W058.25.21.056 COLOR_Coastline
N006.58.05.985 W058.25.21.056 N006.57.16.766 W058.25.54.307 COLOR_Coastline
N006.57.16.766 W058.25.54.307 N006.56.35.018 W058.26.49.239 COLOR_Coastline
N006.56.35.018 W058.26.49.239 N006.55.22.948 W058.27.27.032 COLOR_Coastline
N006.55.22.948 W058.27.27.032 N006.54.01.063 W058.27.48.565 COLOR_Coastline
N006.54.01.063 W058.27.48.565 N006.53.00.126 W058.27.37.872 COLOR_Coastline
N006.53.00.126 W058.27.37.872 N006.54.17.176 W058.26.27.706 COLOR_Coastline
N006.54.17.176 W058.26.27.706 N006.55.11.522 W058.23.27.677 COLOR_Coastline
N006.55.11.522 W058.23.27.677 N006.57.39.618 W058.20.04.942 COLOR_Coastline
N006.57.39.618 W058.20.04.942 N006.57.54.999 W058.20.00.987 COLOR_Coastline
N006.57.54.999 W058.20.00.987 N006.58.19.608 W058.22.42.852 COLOR_Coastline
N007.17.14.715 W081.48.27.823 N007.17.29.657 W081.48.25.919 COLOR_Coastline
N007.17.29.657 W081.48.25.919 N007.17.36.395 W081.48.29.727 COLOR_Coastline
N007.17.36.395 W081.48.29.727 N007.17.38.885 W081.48.38.809 COLOR_Coastline
N007.17.38.885 W081.48.38.809 N007.17.39.325 W081.48.52.432 COLOR_Coastline
N007.17.39.325 W081.48.52.432 N007.17.19.403 W081.49.08.985 COLOR_Coastline
N007.17.19.403 W081.49.08.985 N007.17.08.270 W081.49.07.520 COLOR_Coastline
N007.17.08.270 W081.49.07.520 N007.16.47.909 W081.48.52.432 COLOR_Coastline
N007.16.47.909 W081.48.52.432 N007.16.16.708 W081.48.58.438 COLOR_Coastline
N007.16.16.708 W081.48.58.438 N007.13.33.524 W081.48.03.214 COLOR_Coastline
N007.13.33.524 W081.48.03.214 N007.13.33.524 W081.47.36.407 COLOR_Coastline
N007.13.33.524 W081.47.36.407 N007.14.02.235 W081.47.49.151 COLOR_Coastline
N007.14.02.235 W081.47.49.151 N007.14.20.399 W081.48.03.214 COLOR_Coastline
N007.14.20.399 W081.48.03.214 N007.15.05.956 W081.47.32.599 COLOR_Coastline
N007.15.05.956 W081.47.32.599 N007.16.38.973 W081.46.44.552 COLOR_Coastline
N007.16.38.973 W081.46.44.552 N007.17.14.715 W081.46.00.167 COLOR_Coastline
N007.17.14.715 W081.46.00.167 N007.17.16.180 W081.46.49.825 COLOR_Coastline
N007.17.16.180 W081.46.49.825 N007.17.24.383 W081.47.23.663 COLOR_Coastline
N007.17.24.383 W081.47.23.663 N007.17.27.899 W081.47.52.813 COLOR_Coastline
N007.17.27.899 W081.47.52.813 N007.17.14.715 W081.48.27.823 COLOR_Coastline
N007.33.40.262 W081.08.56.974 N007.33.05.692 W081.09.27.442 COLOR_Coastline
N007.33.05.692 W081.09.27.442 N007.32.25.848 W081.09.50.587 COLOR_Coastline
N007.32.25.848 W081.09.50.587 N007.31.53.182 W081.10.27.794 COLOR_Coastline
N007.31.53.182 W081.10.27.794 N007.31.33.407 W081.12.37.579 COLOR_Coastline
N007.31.33.407 W081.12.37.579 N007.31.15.829 W081.13.21.817 COLOR_Coastline
N007.31.15.829 W081.13.21.817 N007.30.48.143 W081.13.58.438 COLOR_Coastline
N007.30.48.143 W081.13.58.438 N007.30.12.255 W081.14.33.302 COLOR_Coastline
N007.30.12.255 W081.14.33.302 N007.29.25.526 W081.15.06.993 COLOR_Coastline
N007.29.25.526 W081.15.06.993 N007.29.24.208 W081.14.44.434 COLOR_Coastline
N007.29.24.208 W081.14.44.434 N007.29.58.924 W081.13.05.118 COLOR_Coastline
N007.29.58.924 W081.13.05.118 N007.29.53.798 W081.12.56.915 COLOR_Coastline
N007.29.53.798 W081.12.56.915 N007.29.44.130 W081.12.30.841 COLOR_Coastline
N007.29.44.130 W081.12.30.841 N007.29.36.512 W081.11.56.856 COLOR_Coastline
N007.29.36.512 W081.11.56.856 N007.29.36.512 W081.11.26.681 COLOR_Coastline
N007.29.36.512 W081.11.26.681 N007.29.49.110 W081.11.05.733 COLOR_Coastline
N007.29.49.110 W081.11.05.733 N007.30.48.143 W081.10.15.196 COLOR_Coastline
N007.30.48.143 W081.10.15.196 N007.31.39.559 W081.08.34.708 COLOR_Coastline
N007.31.39.559 W081.08.34.708 N007.32.00.214 W081.08.16.251 COLOR_Coastline
N007.32.00.214 W081.08.16.251 N007.32.23.798 W081.08.03.800 COLOR_Coastline
N007.32.23.798 W081.08.03.800 N007.32.43.133 W081.07.45.343 COLOR_Coastline
N007.32.43.133 W081.07.45.343 N007.32.51.044 W081.07.08.575 COLOR_Coastline
N007.32.51.044 W081.07.08.575 N007.32.49.432 W081.06.35.470 COLOR_Coastline
N007.32.49.432 W081.06.35.470 N007.32.44.012 W081.06.12.032 COLOR_Coastline
N007.32.44.012 W081.06.12.032 N007.32.33.173 W081.05.51.964 COLOR_Coastline
N007.32.33.173 W081.05.51.964 N007.32.15.155 W081.05.29.112 COLOR_Coastline
N007.32.15.155 W081.05.29.112 N007.32.01.825 W081.04.57.911 COLOR_Coastline
N007.32.01.825 W081.04.57.911 N007.32.07.245 W081.04.30.079 COLOR_Coastline
N007.32.07.245 W081.04.30.079 N007.32.26.434 W081.03.50.821 COLOR_Coastline
N007.32.26.434 W081.03.50.821 N007.32.40.643 W081.03.10.245 COLOR_Coastline
N007.32.40.643 W081.03.10.245 N007.33.14.921 W081.02.41.974 COLOR_Coastline
N007.33.14.921 W081.02.41.974 N007.34.31.532 W081.01.59.054 COLOR_Coastline
N007.34.31.532 W081.01.59.054 N007.34.32.118 W081.03.41.739 COLOR_Coastline
N007.34.32.118 W081.03.41.739 N007.34.38.417 W081.04.30.079 COLOR_Coastline
N007.34.38.417 W081.04.30.079 N007.34.53.798 W081.05.15.782 COLOR_Coastline
N007.34.53.798 W081.05.15.782 N007.34.28.309 W081.07.05.059 COLOR_Coastline
N007.34.28.309 W081.07.05.059 N007.34.05.458 W081.08.08.048 COLOR_Coastline
N007.34.05.458 W081.08.08.048 N007.33.40.262 W081.08.56.974 COLOR_Coastline
N007.23.50.223 W081.39.51.759 N007.23.50.223 W081.40.13.878 COLOR_Coastline
N007.23.50.223 W081.40.13.878 N007.23.29.715 W081.40.40.391 COLOR_Coastline
N007.23.29.715 W081.40.40.391 N007.23.42.020 W081.41.03.975 COLOR_Coastline
N007.23.42.020 W081.41.03.975 N007.24.13.661 W081.41.21.114 COLOR_Coastline
N007.24.13.661 W081.41.21.114 N007.24.50.575 W081.41.27.706 COLOR_Coastline
N007.24.50.575 W081.41.27.706 N007.25.26.317 W081.41.41.036 COLOR_Coastline
N007.25.26.317 W081.41.41.036 N007.26.24.325 W081.42.45.782 COLOR_Coastline
N007.26.24.325 W081.42.45.782 N007.27.09.149 W081.43.08.341 COLOR_Coastline
N007.27.09.149 W081.43.08.341 N007.27.27.020 W081.43.00.431 COLOR_Coastline
N007.27.27.020 W081.43.00.431 N007.29.11.903 W081.42.33.624 COLOR_Coastline
N007.29.11.903 W081.42.33.624 N007.29.36.512 W081.42.30.108 COLOR_Coastline
N007.29.36.512 W081.42.30.108 N007.30.19.872 W081.40.34.972 COLOR_Coastline
N007.30.19.872 W081.40.34.972 N007.30.36.864 W081.40.13.878 COLOR_Coastline
N007.30.36.864 W081.40.13.878 N007.31.34.872 W081.40.18.419 COLOR_Coastline
N007.31.34.872 W081.40.18.419 N007.31.55.673 W081.40.32.335 COLOR_Coastline
N007.31.55.673 W081.40.32.335 N007.32.04.462 W081.40.55.333 COLOR_Coastline
N007.32.04.462 W081.40.55.333 N007.32.26.434 W081.41.27.706 COLOR_Coastline
N007.32.26.434 W081.41.27.706 N007.32.29.071 W081.41.37.813 COLOR_Coastline
N007.32.29.071 W081.41.37.813 N007.32.24.676 W081.42.07.696 COLOR_Coastline
N007.32.24.676 W081.42.07.696 N007.32.26.434 W081.42.19.122 COLOR_Coastline
N007.32.26.434 W081.42.19.122 N007.32.35.223 W081.42.21.319 COLOR_Coastline
N007.32.35.223 W081.42.21.319 N007.33.03.934 W081.42.17.364 COLOR_Coastline
N007.33.03.934 W081.42.17.364 N007.33.13.309 W081.42.19.122 COLOR_Coastline
N007.33.13.309 W081.42.19.122 N007.33.57.255 W081.42.47.833 COLOR_Coastline
